Código producto,Nombre producto,MARCA DETALLADA,MARCA RESUMIDA,LINEA NEGOCIO
20127,PANEL LED PASTEL SP REDONDO 24W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20128,PANEL LED PASTEL SP REDONDO 36W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20129,PANEL LED PASTEL SP CUADRADO 18W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20131,PANEL LED PASTEL SP CUADRADO 36W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20132B,PANEL LED RECTANGULAR 30W 30X60 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20133B,PANEL LED  52W 60X60 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20134B,PANEL LED RECTANGULAR 52W 30X1.20 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20140B,TUBO LED 9W 60CM 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20141B,TUBO LED 18W 1.20CM 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20148,MARCO ALUMINIO SOBREPONER 60X60 CEB,CEB,SECUNDARIA,ILUMINACION
2900119,CORAZA PVC 1/2 VDE CONDUFLEX 50M  PAVCO,PAVCO,SECUNDARIA,TUBERIA
2903170,CAUCHO CONDUIT P / DBL 1/2 1.80M PAVCO,PAVCO,SECUNDARIA,TUBERIA
2903171,CAUCHO CONDUIT P / DBL 3/4 1.80M PAVCO,PAVCO,SECUNDARIA,TUBERIA
2907715,"TUBO PVC SCH40 1"" X 3M PAVCO",PAVCO,SECUNDARIA,TUBERIA
2907718,TUBO PVC SCH40 1/2 X 3M PAVCO,PAVCO,SECUNDARIA,TUBERIA
2907719,"TUBO PVC SCH40 2"" X 3M PAVCO",PAVCO,SECUNDARIA,TUBERIA
2907720,TUBO PVC SCH40 3/4 X 3M PAVCO,PAVCO,SECUNDARIA,TUBERIA
2909662,TERMINAL  PVC SCH40 1/2 PAVCO,PAVCO,SECUNDARIA,TUBERIA
2909663,TERMINAL PVC SCH40 3/4 PAVCO,PAVCO,SECUNDARIA,TUBERIA
2909664,"TERMINAL PVC SCH40 1"" PAVCO",PAVCO,SECUNDARIA,TUBERIA
2909665,"TERMINAL PVC SCH40 1"" 1/4 PAVCO",PAVCO,SECUNDARIA,TUBERIA
2909666,"TERMINAL PVC SCH40 1"" 1/2 PAVCO",PAVCO,SECUNDARIA,TUBERIA
2909667,"TERMINAL PVC SCH40 2"" PAVCO",PAVCO,SECUNDARIA,TUBERIA
3007392,C. TRENZADO 3*12AWG CU AZ/BL/VE 1000 THHN-2 CENTELSA X MT,CENTELSA,PRIMARIA,CABLEADO
30101,TOMA DOBLE T. LEVITON NARANJA CEB,CEB,SECUNDARIA,ILUMINACION
30102,TOMA DOBLE GFCI 20AMP CEB,CEB,SECUNDARIA,ILUMINACION
30103,LINEA PLATINO INT SENCILLO CEB,CEB,SECUNDARIA,ILUMINACION
30104,LINEA PLATINO INT DOBLE CEB,CEB,SECUNDARIA,ILUMINACION
30105,LINEA PLATINO INT TRIPLE CEB,CEB,SECUNDARIA,ILUMINACION
30107,LINEA PLATINO TOMA CORRIENTE DOBLE CEB,CEB,SECUNDARIA,ILUMINACION
30108,LINEA PLATINO TOMA TELEFONO CEB,CEB,SECUNDARIA,ILUMINACION
30109,LINEA PLATINO INT+TOMA CEB,CEB,SECUNDARIA,ILUMINACION
30146,LINEA PLATINO TAPA CIEGA CEB,CEB,SECUNDARIA,ILUMINACION
40100,LUMINARIA UFO LED 100W CEB,CEB,SECUNDARIA,ILUMINACION
40102,LUMINARIA UFO LED 210W CEB,CEB,SECUNDARIA,ILUMINACION
40114B,REFLECTOR LED TABLET 20W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
40115B,REFLECTOR LED TABLET 30W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
40116B,REFLECTOR LED TABLET 50W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
40117B,REFLECTOR LED TABLET 100W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
40119B,REFLECTOR LED TABLET 200W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
40124,REFLECTOR LED RGB 100W CEB,CEB,SECUNDARIA,ILUMINACION
40125,REFLECTOR LED RGB 200W CEB,CEB,SECUNDARIA,ILUMINACION
4016,LAMPARA EMERGENCIA GLOBO 2X1.2W CEB,CEB,SECUNDARIA,ILUMINACION
4701938004,SOCKET T8 ANTIVIBRACION C/ SOPORTE BJB,OTROS,SECUNDARIA,OTROS
50103,ALUMBRADO PUBLICO SOLAR 90W CEB,CEB,SECUNDARIA,ILUMINACION
50104,ALUMBRADO PUBLICO SOLAR 120W CEB,CEB,SECUNDARIA,ILUMINACION
50106,REFLECTOR LED SOLAR 150W CEB,CEB,SECUNDARIA,ILUMINACION
53-2/53-3,AISLADOR CARRETE 53-2/53-3,OTROS,SECUNDARIA,OTROS
60103,SOCKET GU10 CEB,CEB,SECUNDARIA,ILUMINACION
60104,JUEGO DE GUAYA CEB,CEB,SECUNDARIA,ILUMINACION
60106,LAMPARA LED ANTIPOLVO  36W 1.20CM CEB,CEB,SECUNDARIA,ILUMINACION
60106P,LAMPARA ANTIPOLVO SP 18W 60CM 6500K CEB,CEB,SECUNDARIA,ILUMINACION
60107,MUEBLE HERMETICO CEB,CEB,SECUNDARIA,ILUMINACION
60109NR,SPOT LED DIRIGIBLES CENTAURUS GU10 NEGRO RIEL CEB,CEB,SECUNDARIA,ILUMINACION
60109NS,SPOT  LED DIRIGIBLES CENTAURUS GU10 NEGRO SP CEB,CEB,SECUNDARIA,ILUMINACION
60115NB,SPOT  LED DIRIGIBLES ROMA NEGRO 10W LUZ BLANCA CEB,CEB,SECUNDARIA,ILUMINACION
60120N,RIEL SPOT ALUMINIO 1M NEGRO CEB,CEB,SECUNDARIA,ILUMINACION
60121B,RIEL SPOT ALUMINIO 2M BLANCO CEB,CEB,SECUNDARIA,ILUMINACION
60121N,RIEL SPOT ALUMINIO 2M NEGRO CEB,CEB,SECUNDARIA,ILUMINACION
60123N,CONECTOR SPOT L NEGRO CEB,CEB,SECUNDARIA,ILUMINACION
60124B,CONECTOR SPOT  I BLANCO CEB,CEB,SECUNDARIA,ILUMINACION
60124N,CONECTOR SPOT  I NEGRO CEB,CEB,SECUNDARIA,ILUMINACION
60127,SENSOR PARED TIPO L CEB,CEB,SECUNDARIA,ILUMINACION
60132,LAMPARA LED T5 10W 60CM 6500K CEB,CEB,SECUNDARIA,ILUMINACION
60135C,SPOT  LED DIRIGIBLES ROMA BLANCO 20W LUZ CALIDA CEB,CEB,SECUNDARIA,ILUMINACION
70100,TUBO METALICO (EMT) 1/2 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70101,TUBO METALICO (EMT) 3/4 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70101S,TUBO METALICO (EMT) LINEAL 3/4MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70102,"TUBO METALICO (EMT) 1"" MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70103,"TUBO METALICO (EMT) 1"" 1/4 MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70104,"TUBO METALICO (EMT) 1"" 1/2 MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70105,"TUBO METALICO (EMT) 2"" MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70109,TUBO GALVANIZADO (IMC) 3/4 CERTIFICADO MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70110,"TUBO GALVANIZADO (IMC) 1"" CERTIFICADO MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70111,"TUBO GALVANIZADO (IMC) 1"" 1/4 CERTIFICADO MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70119,"CURVA GALVANIZADA (IMC) 1"" MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70120-EM,AMARRE PLASTICO 10CM BLANCO EM,OTROS,SECUNDARIA,OTROS
70126,CURVA METALICA (EMT) 1/2 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70127,CURVA METALICA (EMT) 3/4 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70128,"CURVA METALICA (EMT) 1"" MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70130,"CURVA METALICA (EMT) 1"" 1/2 MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70131,"CURVA METALICA (EMT) 2"" MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70134,UNION GALVANIZADA  (IMC) 1/2 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70135,UNION GALVANIZADA  (IMC) 3/4 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70137,"UNION GALVANIZADA  (IMC) 1"" 1/4 MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70143,TERMINAL METALICA (EMT) 1/2 ACERO MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70144,TERMINAL METALICA (EMT) 3/4 ACERO MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70145,"TERMINAL METALICA  (EMT) 1"" ACERO MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70146,"TERMINAL METALICA (EMT) 1"" 1/4 ACERO MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70147,"TERMINAL METALICA (EMT) 1"" 1/2 ACERO MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70148,"TERMINAL METALICA (EMT) 2"" ACERO MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70151,UNION METALICA  (EMT) 1/2 ACERO MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70152,UNION METALICA (EMT) 3/4 ACERO MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70153,"UNION METALICA (EMT) 1"" ACERO MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70155,"UNION METALICA (EMT) 1"" 1/2 ACERO MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70156,"UNION METALICA (EMT) 2"" ACERO MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70160,CONECTOR RECTO 3/4 ACERO MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70161,"CONECTOR RECTO 1"" ACERO MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70163,"CONECTOR RECTO 1"" 1/2 ACERO MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70176,CAPACETE GALVANIZADO (IMC)  3/4 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70181,CAJA METALICA 5800 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70182,CAJA METALICA 2400 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70183,CAJA METALICA 10X10 DOBLE FONDO MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70184,CAJA METALICA OCTAGONAL MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70185,TAPA CIEGA METALICA 5800 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70186,TAPA CIEGA METALICA 2400 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70187,TAPA CIEGA METALICA OCTAGONAL MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70189,CAJA DE INTEMPERIE  5800 3 SALIDAS 1/2 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70190,CAJA DE INTEMPERIE 5800 3 SALIDAS 3/4 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70192,CAJA DE INTEMPERIE 5800 5 SALIDAS 1/2 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70193,CAJA DE INTEMPERIE 5800 5 SALIDAS 3/4 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70195,CAJA DE INTEMPERIE 2400 5 SALIDAS 1/2 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70199,CAJA DE INTERPERIE OCTAGONAL 3/4 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70200,TAPA CIEGA INTEMPERIE 5800 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70201,TAPA CIEGA INTEMPERIE 2400 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70202,TERMINAL EMT ALUMINIO 1/2 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70214,GRAPA DOBLE 1/2 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70215,GRAPA DOBLE 3/4 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70216,"GRAPA DOBLE  1"" MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70218,CINTA AISLANTE 18M NEGRA  3NET,OTROS,SECUNDARIA,OTROS
70221,CORAZA  FLEXIBLE GRIS 1/2 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70222,CORAZA FLEXIBLE GRIS  3/4 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70223/1,"CORAZA FLEXIBLE GRIS 1"" MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70225,"CORAZA FLEXIBLE GRIS  1"" 1/2 MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70227,JUEGO DE BOQUILLA IMC 3/4 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70228,"JUEGO DE BOQUILLA IMC 1""MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70229,"JUEGO DE BOQUILLA IMC 1"" 1/4 MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70230,"JUEGO DE BOQUILLA IMC 1"" 1/2 MAXWELL",MAXWELL,PRIMARIA,TUBERIA
77CT1718N,CINTA AISLANTE NEGRA 3M,OTROS,SECUNDARIA,OTROS
80007086,A. 12AWG CU BLANCO THHN-2 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007094,A. 12AWG CU ROJO THHN-2 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007097,A. 12AWG CU BLANCO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007098,A. 12AWG CU AZUL THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007100,A. 12AWG CU ROJO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007102,A. 12AWG CU NEGRO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007141,A. 10AWG CU BLANCO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007158,A. 14AWG CU VERDE THHN-2 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007161,A. 14AWG CU VERDE THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007269,2X12AWG DUPLEX CU 300V CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007271,2X14AWG DUPLEX CU 300V  CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007274,2X16AWG DUPLEX CU 300V CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007281,C. 6AWG CU NEGRO THWN-2 X MT 600V CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80149,RIEL CHANEL 4X2 RANURADO 3 METROS MAXWELL,MAXWELL,PRIMARIA,TUBERIA
80157,GRAPA RIEL 3/4 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
80164,JUEGO KIT CLEMA MAXWELL,MAXWELL,PRIMARIA,TUBERIA
80166,VARILLA ROSCADA 3/8 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
80178-PS,"PLACA SALIDA TUBO (1/2 - 3/4 - 1"")",OTROS,SECUNDARIA,OTROS
8045-EM,AMARRE PLASTICO 20CM BLANCO EM,OTROS,SECUNDARIA,OTROS
90105,CABLE UTP INTERIOR COBRE CAT 5E ANCLA POR METRO,ANCLA,SECUNDARIA,CABLEADO
90106,CABLE UTP INTERIOR COBRE CAT 6 ANCLA X METROS,ANCLA,SECUNDARIA,CABLEADO
90119,FACE PLATE DOBLE ANCLA,ANCLA,SECUNDARIA,CABLEADO
A10DNG-EM,AMARRE PLASTICO 10CM NEGRO EM,OTROS,SECUNDARIA,OTROS
B1A-OA2T,CONTADOR BIFASICO CUENTA INT RYMEL,OTROS,SECUNDARIA,OTROS
BLN,BOMBILLO AHORRADOR 24W LUZ NEGRA,OTROS,SECUNDARIA,ILUMINACION
BT/LN,BASE Y TUBO LUZ NEGRA,OTROS,SECUNDARIA,OTROS
BTMU-054-10-300-Z-L,BANDEJA TIPO MALLA EN U DE 0.54M X 0.10M X 3.00M Z LIV,PERALTA,SECUNDARIA,CABLEADO
BTMU-054-20-300-Z-L,BANDEJA TIPO MALLA EN U DE 0.54M X 0.20M X 3.00M Z LIV,PERALTA,SECUNDARIA,CABLEADO
BTMU-054-30-300-Z-L,BANDEJA TIPO MALLA EN U DE 0.54M X 0.30M X 3.00M Z LIV,PERALTA,SECUNDARIA,CABLEADO
C-004,CLAVIJA DE PATA TRABADA 20A 250V CODELCA,CODELCA,SECUNDARIA,OTROS
C-005,CLAVIJA TRIFILAR PARA 20A 250V CODELCA,CODELCA,SECUNDARIA,OTROS
C-010,TOMA AEREA EN CAUCHO TIPO INDUSTRIAL 15A CODELCA,CODELCA,SECUNDARIA,OTROS
C-013,TOMA DE INCRUSTAR BIFASICA 20A 250V  CODELCA,CODELCA,SECUNDARIA,OTROS
C-018,CLAVIJA EN CAUCHO PATA PLANA TIPO DOMESTICO 15A CODELCA,CODELCA,SECUNDARIA,OTROS
C-022,CLAVIJA EN CAUCHO CON POLO A TIERRA  15A 250V CODELCA,CODELCA,SECUNDARIA,OTROS
C-025,TOMA AEREA SEGURIDAD POLO A TIERRA 20A 250V CODELCA,CODELCA,SECUNDARIA,OTROS
C03-01-S33,CINTA AISLANTE SUPER 33 3M,OTROS,SECUNDARIA,OTROS
C03-31-P,TENSOR ANTIFRAUE PEQUEÑO,OTROS,SECUNDARIA,OTROS
CADIS20,CAJA DE DISTRIBUCION DE CABLEADO Y PASO SUBTERRANEA DE 20X20,OTROS,SECUNDARIA,CABLEADO
CAJAMONO/LONCH,CAJA 1 MEDIDOR MONOFASICA TIPO LONCHERA 20X32X16 CM MODEVER,OTROS,SECUNDARIA,OTROS
CAPAS40,CAJA DE DISTRIBUCION DE CABLEADO Y PASO SUBTERRANEA DE 40X40X40 CON TAPA,OTROS,SECUNDARIA,CABLEADO
CC25X24-R,CABLE CONTROL 25X24AWG 600V 105 FOIL ALU RAMCRO,OTROS,SECUNDARIA,CABLEADO
CC4X10-T,CABLE CONTROL 4X10AWG 600V 90 FOIL ALUM TELDOR,OTROS,SECUNDARIA,CABLEADO
CC4X22-R,CABLE CONTROL 4X22AWG 600V 105 FOIL ALUM RAMCRO,OTROS,SECUNDARIA,CABLEADO
CE125LIB,CAJA 12X12X5 TAPA LISA BLANCA TERCOL,TERCOL,SECUNDARIA,OTROS
CE30-30-15B,CAJA DE EMPALME 30X30X15 BLANCA TERCOL,TERCOL,SECUNDARIA,OTROS
CE40-40-20B,CAJA DE EMPALME 40X40X20 BLANCA TERCOL,TERCOL,SECUNDARIA,OTROS
CFR-4/0,CABLE  ALUMINIO 4/0 AWG S8.000 (105mm) FACELEC,OTROS,SECUNDARIA,CABLEADO
CJ-10X10-PVC-EM,CAJA DE PASO 10X10 PVC EM,OTROS,SECUNDARIA,OTROS
CJ-15X15-PVC-EM,CAJA DE PASO 15X15 PVC EM,OTROS,SECUNDARIA,OTROS
COF-TRI,COFRE TRIFASICO 57X27 INCELTA,OTROS,SECUNDARIA,OTROS
COF-TRI-2IND,COFRE TRI. 80X90 INDUSTRIAL 2 CTAS INCELTA,OTROS,SECUNDARIA,OTROS
COF-TRI-2V,COFRE TRIFASICO VERTICAL  DE 2 CUENTAS 120X30 INCELTA,OTROS,SECUNDARIA,OTROS
CON-AUTO,CONECTOR AUTODESFORRE ECO GEM,OTROS,SECUNDARIA,OTROS
CON-COB,CONECTOR DE COBRE,OTROS,SECUNDARIA,OTROS
CR-AMA,CONECTOR DE RESORTE AMARILLO ECO GEM,OTROS,SECUNDARIA,OTROS
CR-ROJO,CONECTOR DE RESORTE  ROJO ECO GEM,OTROS,SECUNDARIA,OTROS
DIV-BTMU-054-150-LG,DIVISION  BANDEJA MALLA EN 0.54 X 1.50M CAL 20 LG,PERALTA,SECUNDARIA,CABLEADO
DSE-1020,TACO ENCHUFABLE 1X20A LUMINEX,LUMINEX,SECUNDARIA,OTROS
DSE-1030,TACO ENCHUFABLE 1X30A LUMINEX,LUMINEX,SECUNDARIA,OTROS
DSE-1040,TACO ENCHUFABLE 1X40A LUMINEX,LUMINEX,SECUNDARIA,OTROS
DSE-1050,TACO ENCHUFABLE 1X50A LUMINEX,LUMINEX,SECUNDARIA,OTROS
DSE-1060,TACO ENCHUFABLE 1X60A LUMINEX,LUMINEX,SECUNDARIA,OTROS
DSE-2020,TACO ENCHUFABLE 2X20A LUMINEX,LUMINEX,SECUNDARIA,OTROS
DSE-2040,TACO ENCHUFABLE 2X40A LUMINEX,LUMINEX,SECUNDARIA,OTROS
DSE-2050,TACO ENCHUFABLE 2X50A LUMINEX,LUMINEX,SECUNDARIA,OTROS
DSE-3030,TACO ENCHUFABLE 3X30A LUMINEX,LUMINEX,SECUNDARIA,OTROS
DSE-3050,TACO ENCHUFABLE 3X50A LUMINEX,LUMINEX,SECUNDARIA,OTROS
EBCHG-17522,PILOTO ROJO EBCHQ,OTROS,SECUNDARIA,OTROS
EBCHG-17523,PILOTO VERDE  EBCHQ,OTROS,SECUNDARIA,OTROS
ECA108,MULTITOMA 6SL 1MT 3X14AWG BLISTER RETIE MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ECA35,MUTITOMA 6SL 3MT CABLE CON PROTECCION T. AMERICANA MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ECA52,"MULTITOMA 6SL 0,85MT CABLE CON PROTECCION MERCURY",MERCURY,SECUNDARIA,ILUMINACION
ECA85,PLAFON PLASTICO E27 RETIE MERCURY,MERCURY,SECUNDARIA,ILUMINACION
EMP01,CANALETA PLASTICA 12X8X2MT C/ADHESIVO MERCURY,MERCURY,SECUNDARIA,ILUMINACION
EMP03,CANALETA PLASTICA 24X14X2MT C/ADHESIVO MERCURY,MERCURY,SECUNDARIA,ILUMINACION
EN3742-314,"CINTA DE ACERO 5/8"" RAYCHEM",OTROS,SECUNDARIA,OTROS
ESE03,SENSOR ROSETA E27 MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ESE04,SENSOR DE TECHO 360 MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ESE06,SENSOR OJO DE BUEY INC. TECHO 360 MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ESE10,SENSOR LISO PARA TECHO 360 MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ETI05,TOMA GFCI 20A BLANCA MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ETI155,TIMBRE DING DONG PREMIUM WHITE MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ETI34,INT. SENCILLO CONM. PREMIUM WHITE MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ETI35,INT. DOBLE CONM. PREMIUM WHITE MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ETI37,TOMA DOBLE CON POLO PREMIUM WHITE MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ETI39,PULSADOR TIMBRE SENCILLO PREMIUM WHITE MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ETI40,TOMA TELEFONICA SENCILLA PREMIUM WHITE MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ETI41,TOMA COAXIAL PREMIUM WHITE MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ETI52,INT. SENCILLO CONM. BLACK MIRROR MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ETI53,INT. DOBLE CONM. BLACK MIRROR MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ETI54,INT. TRIPLE CONM. BLACK MIRROR MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ETI55,TOMA DOBLE CON POLO BLACK MIRROR MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ETI66,PLACA CIEGA PREMIUM WHITE MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ETI78,TOMA GFCI 20A NEGRA MERCURY,MERCURY,SECUNDARIA,ILUMINACION
EYC-5*3*2,CAJA METALICA 500X300X200 IP 42 EYC,OTROS,SECUNDARIA,OTROS
